Dataset,Model,Feature_Count,Training_Time,Accuracy,Precision,Recall,F1-Score,AUC-ROC,MCC,Specificity,AUPRC,TN,FP,FN,TP
hematology,XGBoost,750,1.0664427280426025,0.8544600938967136,0.8854961832061069,0.8787878787878788,0.8821292775665399,0.9201739618406285,0.6919865799997807,0.8148148148148148,0.9435896430756634,66,15,16,116
hematology,RandomForest,750,5.301067113876343,0.8403755868544601,0.8656716417910447,0.8787878787878788,0.8721804511278195,0.9036195286195287,0.6598446385430942,0.7777777777777778,0.9274589524902873,63,18,16,116
hematology,LogisticRegression,750,3.7342982292175293,0.8215962441314554,0.8405797101449275,0.8787878787878788,0.8592592592592593,0.8858492330714552,0.6171331294790796,0.7283950617283951,0.9252008492384959,59,22,16,116
hematology,SVM,750,0.4631481170654297,0.8075117370892019,0.8527131782945736,0.8333333333333334,0.842911877394636,0.881640478862701,0.5947736180491137,0.7654320987654321,0.9135218524026391,62,19,22,110
hematology,DecisionTree,750,0.03821516036987305,0.8075117370892019,0.9026548672566371,0.7727272727272727,0.8326530612244898,0.8725215114104004,0.6195529299106551,0.8641975308641975,0.9095232861850777,70,11,30,102
hematology,BiLSTM,750,10.789072513580322,0.8075117370892019,0.8473282442748091,0.8409090909090909,0.844106463878327,0.8142068836513282,0.5926114845710097,0.7530864197530864,0.8524791395830198,61,20,21,111
hematology,XGBoost,1000,1.1267616748809814,0.8732394366197183,0.9069767441860465,0.8863636363636364,0.896551724137931,0.9226992143658811,0.7332939967606458,0.8518518518518519,0.9421957716109064,69,12,15,117
hematology,RandomForest,1000,6.93496561050415,0.8356807511737089,0.8540145985401459,0.8863636363636364,0.8698884758364313,0.9145622895622896,0.6479910763607957,0.7530864197530864,0.9367282369327807,61,20,15,117
hematology,LogisticRegression,1000,4.3133461475372314,0.8262910798122066,0.8571428571428571,0.8636363636363636,0.8603773584905661,0.9042742237186682,0.6306037861931493,0.7654320987654321,0.9359887998691001,62,19,18,114
hematology,SVM,1000,0.5380711555480957,0.8356807511737089,0.875968992248062,0.8560606060606061,0.8659003831417624,0.8849139543583988,0.6541394946397703,0.8024691358024691,0.8999901881918727,65,16,19,113
