Dataset,Model,Feature_Count,Training_Time,Accuracy,Precision,Recall,F1-Score,AUC-ROC,MCC,Specificity,AUPRC,TN,FP,FN,TP
hematology,RandomForest,2250,10.012152194976807,0.8403755868544601,0.8656716417910447,0.8787878787878788,0.8721804511278195,0.9318649457538347,0.6598446385430942,0.7777777777777778,0.9578208416062866,63,18,16,116
hematology,XGBoost,2000,1.2109549045562744,0.8356807511737089,0.875968992248062,0.8560606060606061,0.8659003831417624,0.9286849981294426,0.6541394946397703,0.8024691358024691,0.9566388668758989,65,16,19,113
hematology,LogisticRegression,1500,6.765667676925659,0.8403755868544601,0.8769230769230769,0.8636363636363636,0.8702290076335878,0.9099794238683129,0.6630736533652591,0.8024691358024691,0.937812267147374,65,16,18,114
hematology,SVM,2000,1.0533263683319092,0.8450704225352113,0.889763779527559,0.8560606060606061,0.8725868725868726,0.9017489711934156,0.675989046954374,0.8271604938271605,0.9199517321221782,67,14,19,113
hematology,BiLSTM,2000,9.881992816925049,0.8450704225352113,0.896,0.8484848484848485,0.8715953307392996,0.8958567153011597,0.6782907631326602,0.8395061728395061,0.9051219876477744,68,13,20,112
hematology,DecisionTree,750,0.03821516036987305,0.8075117370892019,0.9026548672566371,0.7727272727272727,0.8326530612244898,0.8725215114104004,0.6195529299106551,0.8641975308641975,0.9095232861850777,70,11,30,102
