Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,MCC,Specificity,AUPRC,Best_Params
XGBoost,0.845679012345679,0.8725849671267771,0.8760705289672543,0.8743017564875902,0.9072688590725261,0.6745405626720737,0.797609561752988,0.9305343462332815,"{'colsample_bytree': 0.8, 'gamma': 0.3, 'learning_rate': 0.05, 'max_depth': 13, 'min_child_weight': 1, 'n_estimators': 1000, 'subsample': 0.9}"
RandomForest,0.8306481481481481,0.8357578696038312,0.9006045340050377,0.8669526897751391,0.9044432847953274,0.6383525281635811,0.72,0.9362837692060033,"{'bootstrap': False, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}"
SVM,0.7754012345679012,0.7927109420623367,0.8576826196473551,0.8239153105025352,0.840784669884693,0.5182854468874853,0.6452589641434262,0.886102956881166,"{'C': 10, 'class_weight': None, 'gamma': 0.01, 'kernel': 'rbf', 'shrinking': True}"
LogisticRegression,0.7592592592592592,0.779582366589327,0.8463476070528967,0.8115942028985508,0.8325374572240007,0.4829264234425331,0.6215139442231076,0.8819685196130831,"{'C': 1.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga', 'tol': 0.0001}"
BiLSTM,0.735,0.763379884832241,0.8239798488664988,0.7917758824552622,0.7733535379891014,0.43243177611086764,0.5942629482071713,0.8212896245250698,"{'hidden_dim': 128, 'num_layers': 1, 'dropout': 0.3, 'lr': 0.002, 'batch_size': 32}"
DecisionTree,0.7294444444444445,0.7677916185484643,0.8009571788413098,0.7838506138779965,0.7722256565676839,0.4236275784098931,0.6163346613545817,0.8492556974527592,"{'criterion': 'gini', 'max_depth': 25, 'max_features': 0.5, 'min_samples_leaf': 10, 'min_samples_split': 2, 'splitter': 'best'}"
