Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,MCC,Specificity,AUPRC,Best_Params
XGBoost,0.8662910798122065,0.9111516833050097,0.869090909090909,0.8895652525113271,0.9400748222970445,0.721804991331177,0.8617283950617284,0.9555609399491408,"{'colsample_bytree': 0.9, 'gamma': 0.1, 'learning_rate': 0.1, 'max_depth': 13, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.9}"
RandomForest,0.8530516431924883,0.8853798377863294,0.8763636363636365,0.88082974047595,0.9309988776655443,0.6893341911491302,0.8150617283950616,0.9503094678455062,"{'bootstrap': True, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 0.5, 'min_samples_leaf': 2, 'min_samples_split': 10, 'n_estimators': 200}"
LogisticRegression,0.8544600938967136,0.8976377952755905,0.8636363636363636,0.8803088803088803,0.9235147774036663,0.695699610541134,0.839506172839506,0.9351151608866546,"{'C': 1.0, 'class_weight': None, 'max_iter': 1000, 'penalty': 'l1', 'solver': 'saga', 'tol': 0.0001}"
SVM,0.8651643192488262,0.8817254901960784,0.9036363636363636,0.8925440214657051,0.9155686494575384,0.712071553385919,0.8024691358024691,0.9448010944092551,"{'C': 10, 'class_weight': 'balanced', 'gamma': 0.01, 'kernel': 'rbf', 'shrinking': True}"
BiLSTM,0.792300469483568,0.8145713305339005,0.8624242424242425,0.8372556868065496,0.8461298166853723,0.5539327695743402,0.6780246913580247,0.880665687445892,"{'hidden_dim': 128, 'num_layers': 2, 'dropout': 0.3, 'lr': 0.001, 'batch_size': 64}"
DecisionTree,0.7883568075117371,0.8299703506827266,0.8312121212121213,0.8293371316624892,0.845114104002993,0.5530674346979745,0.7185185185185184,0.8918593611970635,"{'criterion': 'entropy', 'max_depth': 5, 'max_features': 0.5, 'min_samples_leaf': 5, 'min_samples_split': 20, 'splitter': 'best'}"
