Dataset,Youden_Threshold,Youden_Sensitivity,Youden_Specificity,High_Sens_Threshold,Low_Risk_Upper,High_Risk_Lower
Hematology,0.23000000000000004,0.9431818181818182,0.9139784946236559,0.1999999999999993,0.084661103785038,0.7995517998933792
Non-Hematology,0.5900000000000002,0.9675925925925926,0.8387096774193549,0.6099999999999997,0.31557272374629974,0.8786066770553589
