Model,Dataset,Sensitivity,Specificity,Accuracy,F1_Score,AUC_ROC,TP,TN,FP,FN
Original_XGBoost,Hematology,0.8977272727272727,0.9354838709677419,0.9171270718232044,0.9132947976878613,0.9815493646138806,79,87,6,9
Original_XGBoost,Non-Hematology,0.9722222222222222,0.8118279569892473,0.8980099502487562,0.911062906724512,0.9516626841895659,210,151,35,6
BIC_LogisticRegression,Hematology,0.7727272727272727,0.9354838709677419,0.856353591160221,0.8395061728395061,0.9419599217986314,68,87,6,20
BIC_LogisticRegression,Non-Hematology,0.9583333333333334,0.7473118279569892,0.8606965174129353,0.8808510638297873,0.9463112305854241,207,139,47,9
