Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,MCC
XGBoost,0.8117283950617284,0.8281622911694511,0.8740554156171285,0.8504901960784313,0.896996397282407,0.5984053924632089
Logistic Regression,0.7484567901234568,0.7746478873239436,0.8312342569269522,0.8019441069258809,0.828655152688992,0.46064776749127273
Random Forest,0.808641975308642,0.8167053364269141,0.8866498740554156,0.8502415458937198,0.8948688871717161,0.5903239730071539
