Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,MCC
XGBoost,0.812206572769953,0.8432835820895522,0.8560606060606061,0.849624060150376,0.8889356528245417,0.5997818573423767
Logistic Regression,0.8169014084507042,0.8444444444444444,0.8636363636363636,0.8539325842696629,0.8719135802469136,0.609008414284258
Random Forest,0.8497652582159625,0.8623188405797102,0.9015151515151515,0.8814814814814815,0.9073606434717546,0.6778768247559022
