Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,MCC
XGBoost,0.8685446009389671,0.9,0.8863636363636364,0.8931297709923665,0.9246632996632996,0.7225659398719146
Logistic Regression,0.8169014084507042,0.8549618320610687,0.8484848484848485,0.8517110266159695,0.8828563411896745,0.6124865036567638
Random Forest,0.8826291079812206,0.8905109489051095,0.9242424242424242,0.9070631970260223,0.9307426112981669,0.7489286946618411
