Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC,MCC
XGBoost,0.8256172839506173,0.8397129186602871,0.8841309823677582,0.8613496932515338,0.8899214226218551,0.6283549865290786
Logistic Regression,0.7376543209876543,0.7645687645687645,0.8261964735516373,0.7941888619854721,0.8178369644846307,0.4364641198289378
Random Forest,0.808641975308642,0.815242494226328,0.889168765743073,0.8506024096385543,0.8883960380141901,0.5901762089565692
