Dataset,Model,Feature_Count,Training_Time,Accuracy,Precision,Recall,F1-Score,AUC-ROC,MCC,Specificity,AUPRC,TN,FP,FN,TP
solid,XGBoost,1750,3.2318649291992188,0.808641975308642,0.815242494226328,0.889168765743073,0.8506024096385543,0.886539484379861,0.5901762089565692,0.6812749003984063,0.918400128313426,171,80,44,353
solid,RandomForest,2250,25.591461181640625,0.7885802469135802,0.7888888888888889,0.8942065491183879,0.8382526564344747,0.8683854004636367,0.5453906038850087,0.6215139442231076,0.9096156709039962,156,95,42,355
solid,BiLSTM,750,19.98679757118225,0.779320987654321,0.7834821428571429,0.8841309823677582,0.8307692307692308,0.8527803145102211,0.5248382810129316,0.6135458167330677,0.8968814018399592,154,97,46,351
solid,SVM,2250,27.028740406036377,0.7623456790123457,0.8188976377952756,0.7858942065491183,0.8020565552699229,0.8242696719419552,0.5057427122410115,0.7250996015936255,0.8607616213472181,182,69,85,312
solid,LogisticRegression,750,9.151615619659424,0.7438271604938271,0.7607223476297968,0.8488664987405542,0.8023809523809524,0.8055937459231087,0.4468164078415672,0.5776892430278885,0.8499203145828388,145,106,60,337
solid,DecisionTree,1500,0.10141968727111816,0.7361111111111112,0.7545045045045045,0.8438287153652393,0.7966706302021404,0.7942737864662258,0.4295850856359192,0.5657370517928287,0.8322582586752626,142,109,62,335
